id,movie_id,person_id,role,character_name
263,24428,9048,Actor,Agent Phil Coulson
264,24428,71189,Actor,Agent Maria Hill
265,24428,1640,Actor,Erik Selvig
266,24428,2231,Actor,Director Nick Fury
267,24428,12052,Actor,"Virginia ""Pepper"" Potts"
268,24428,6162,Actor,J.A.R.V.I.S. (voice)
269,24428,14464,Actor,World Security Council
270,24428,101522,Actor,Shield Pilot
271,24428,12891,Director,
272,1865,85,Actor,Captain Jack Sparrow
273,1865,955,Actor,Angelica Teach
274,1865,6972,Actor,"Captain Edward ""Blackbeard"" Teach"
275,1865,2449,Actor,Joshamee Gibbs
276,1865,118,Actor,Captain Hector Barbossa
277,1865,237455,Actor,Philip Swift
278,1865,469759,Actor,Syrena
279,1865,1115,Actor,Scrum
280,1865,4031,Actor,Lieutenant Theodore Groves
281,1865,1712,Actor,Lieutenant Gillette
282,1865,59129,Actor,The Spaniard
283,1865,10983,Actor,King George II
284,1865,1430,Actor,Captain Teague Sparrow
285,1865,55901,Actor,Tamara
286,1865,5309,Actor,High Society Lady
287,1865,17633,Director,
288,41154,2888,Actor,Agent J
289,41154,2176,Actor,Agent K
290,41154,16851,Actor,Young Agent K
291,41154,72873,Actor,Griffin
292,41154,7056,Actor,Agent O
293,41154,55936,Actor,Boris The Animal
294,41154,151246,Actor,Boris's Girlfriend
295,41154,59860,Actor,Young Agent O
296,41154,19278,Actor,Andy Warhol
297,41154,87070,Actor,Jeffrey Price
298,41154,33533,Actor,Agent X
299,41154,91387,Actor,Mr. Wu
300,41154,1068400,Actor,Colonel's Son
301,41154,450,Actor,Colonel
302,41154,1506488,Actor,Downtown Hipster
303,41154,5174,Director,
304,122917,7060,Actor,Bilbo Baggins
305,122917,1327,Actor,Gandalf
306,122917,30315,Actor,Thorin Oakenshield
307,122917,25136,Actor,Balin
308,122917,95047,Actor,Dwalin
309,122917,67123,Actor,Bifur
310,122917,34715,Actor,Bofur
311,122917,1193834,Actor,Bombur
312,122917,152566,Actor,Fili
313,122917,207558,Actor,Kili
314,122917,534336,Actor,Oin
315,122917,1193832,Actor,Gloin
316,122917,173451,Actor,Nori
317,122917,81877,Actor,Dori
318,122917,1193833,Actor,Ori
319,122917,108,Director,
320,1930,37625,Actor,Peter Parker / Spider-Man
321,1930,54693,Actor,Gwen Stacy
322,1930,7026,Actor,Dr. Curt Connors / The Lizard
323,1930,5724,Actor,Captain Stacy
324,1930,55152,Actor,Richard Parker
325,1930,76793,Actor,Rajit Ratha
326,1930,8349,Actor,Uncle Ben
327,1930,35,Actor,Aunt May
328,1930,558928,Actor,Peter Parker (Age 4)
329,1930,231547,Actor,Flash Thompson
330,1930,6368,Actor,Mary Parker
331,1930,1111328,Actor,Cash Register Thief
332,1930,59261,Actor,Missy Kallenback
333,1930,205976,Actor,Sally Avril
334,1930,2878,Actor,Jack's Father
335,1930,87742,Director,
336,20662,934,Actor,Robin Longstride
337,20662,112,Actor,Marion Loxley
338,20662,2201,Actor,Sir Walter Loxley
339,20662,227,Actor,William Marshal
340,20662,2983,Actor,Godfrey
341,20662,25072,Actor,Prince John
342,20662,6413,Actor,King Richard the Lionheart
343,20662,20300,Actor,Eleanor of Aquitaine
344,20662,13633,Actor,Friar Tuck
345,20662,15576,Actor,Sheriff of Nottingham
346,20662,79072,Actor,Little John
347,20662,35091,Actor,Will Scarlet
348,20662,147472,Actor,Allan A'Dayle
349,20662,80149,Actor,Sir Robert Loxley
350,20662,121529,Actor,Isabella of Angoulême
351,20662,578,Director,
352,57158,7060,Actor,Bilbo Baggins
353,57158,1327,Actor,Gandalf
354,57158,30315,Actor,Thorin Oakenshield
355,57158,25136,Actor,Balin
356,57158,95047,Actor,Dwalin
357,57158,67123,Actor,Bifur
358,57158,34715,Actor,Bofur
359,57158,1193834,Actor,Bombur
360,57158,152566,Actor,Fili
361,57158,207558,Actor,Kili
362,57158,71580,Actor,Smaug / The Necromancer
363,57158,72095,Actor,Thranduil
364,57158,114019,Actor,Bard the Bowman
365,57158,19034,Actor,Tauriel
366,57158,114,Actor,Legolas
367,57158,108,Director,
368,2268,45589,Actor,Lyra Belacqua
369,2268,2227,Actor,Marisa Coulter
370,2268,8784,Actor,Lord Asriel
371,2268,16431,Actor,Lee Scoresby
372,2268,10912,Actor,Serafina Pekkala
373,2268,1281,Actor,Pantalaimon (voice)
374,2268,1327,Actor,Iorek Byrnison (voice)
375,2268,45585,Actor,Roger Parslow
376,2268,6972,Actor,Ragnar Sturlusson (voice)
377,2268,5470,Actor,Stelmania (voice)
378,2268,8534,Actor,Hester (voice)
379,2268,20070,Actor,John Faa
380,2268,14011,Actor,Farder Coram
381,2268,113,Actor,First High Councilor
382,2268,16358,Actor,Fra Pavel
383,2268,3288,Director,
384,254,3489,Actor,Ann Darrow
385,254,70851,Actor,Carl Denham
386,254,3490,Actor,Jack Driscoll
387,254,3491,Actor,Captain Englehorn
388,254,3492,Actor,Preston
389,254,1333,Actor,Kong / Lumpy
390,254,3493,Actor,Hayes
391,254,478,Actor,Jimmy
392,254,3494,Actor,Choy
393,254,3495,Actor,Herb
394,254,3496,Actor,Mike
395,254,3497,Actor,Bruce Baxter
396,254,1166385,Actor,Manny
397,254,3541,Actor,Weston
398,254,81877,Actor,Harry
399,254,108,Director,
400,597,204,Actor,Rose DeWitt Bukater
401,597,6193,Actor,Jack Dawson
402,597,3713,Actor,Ruth Dewitt Bukater
403,597,1954,Actor,Caledon 'Cal' Hockley
404,597,8534,Actor,Molly Brown
405,597,8535,Actor,Old Rose
406,597,2053,Actor,Brock Lovett
407,597,1369,Actor,Captain Edward James Smith
408,597,2076,Actor,Spicer Lovejoy
409,597,8536,Actor,Thomas Andrews
410,597,8537,Actor,Bruce Ismay
411,597,2179,Actor,Lizzy Calvert
412,597,8538,Actor,Lewis Bodine
413,597,8539,Actor,Bobby Buell
414,597,8540,Actor,Fabrizio
415,597,2710,Director,
416,271110,16828,Actor,Steve Rogers / Captain America
417,271110,3223,Actor,Tony Stark / Iron Man
418,271110,1245,Actor,Natasha Romanoff / Black Widow
419,271110,60898,Actor,Bucky Barnes / Winter Soldier
420,271110,53650,Actor,Sam Wilson / Falcon
421,271110,1896,Actor,Lieutenant James Rhodes / War Machine
422,271110,17604,Actor,Clint Barton / Hawkeye
423,271110,172069,Actor,T'Challa / Black Panther
424,271110,6162,Actor,Vision
425,271110,550843,Actor,Wanda Maximoff / Scarlet Witch
426,271110,22226,Actor,Scott Lang / Ant-Man
427,271110,84247,Actor,Sharon Carter
428,271110,1136406,Actor,Peter Parker / Spider-Man
429,271110,81685,Actor,Brock Rumlow / Crossbones
430,271110,227,Actor,Secretary of State Thaddeus Ross
431,271110,19271,Director,
432,271110,19272,Director,
433,44833,60900,Actor,Lieutenant Alex Hopper
434,44833,28846,Actor,Commander Stone Hopper
435,44833,131519,Actor,Petty Officer Cora 'Weps' Raikes
436,44833,131520,Actor,Sam
