movie_id,revenue,runtime,vote_average,vote_count,budget
140300,521170825,95.0,6.7,1603,145000000
56292,694713380,133.0,6.8,3972,145000000
81188,306941670,97.0,7.1,1922,145000000
7552,202026112,90.0,5.9,627,100000000
616,456758981,154.0,7.3,1895,140000000
147441,268031828,150.0,5.6,1921,140000000
13475,385680446,127.0,7.4,4518,150000000
557,821708551,121.0,6.8,5265,139000000
82702,609123048,102.0,7.6,3106,145000000
205584,150680864,127.0,5.3,1277,140000000
10048,76932943,121.0,4.9,331,135000000
13183,185258983,163.0,7.0,2811,130000000
944,285444603,127.0,6.3,767,140000000
1927,245360480,138.0,5.3,1533,137000000
72559,371876278,110.0,5.4,3025,130000000
7364,119269486,124.0,5.7,434,130000000
2114,85131830,106.0,5.9,433,137000000
1771,370569774,124.0,6.6,7047,140000000
36643,361832400,128.0,6.0,862,135000000
8619,212011111,138.0,6.9,790,150000000
50620,829000000,115.0,6.1,2553,120000000
65759,150406466,100.0,5.8,373,130000000
1724,163712074,114.0,6.1,3021,150000000
267935,183345589,120.0,6.0,1000,140000000
281957,532950503,156.0,7.3,6396,135000000
77950,282570682,96.0,6.1,1074,135000000
44896,245724603,107.0,6.6,2051,135000000
270946,373552094,92.0,6.5,1346,132000000
2503,442824138,115.0,7.3,2888,70000000
9502,631744560,90.0,6.9,3145,130000000
102899,519311965,117.0,7.0,5880,130000000
101299,847423452,146.0,7.4,6495,130000000
228161,368871007,94.0,6.8,1519,135000000
74,591739379,116.0,6.2,2322,132000000
8961,273339556,147.0,6.3,1564,130000000
417859,554987477,90.0,6.4,451,130000000
27576,293329073,100.0,6.2,2093,110000000
86834,362637473,139.0,5.6,2350,125000000
17578,371940071,107.0,6.7,2061,130000000
673,789804554,141.0,7.7,5877,130000000
6972,49554002,165.0,6.3,694,130000000
82700,243843127,100.0,5.0,2532,130000000
10567,354248063,82.0,6.2,542,127500000
181533,349424282,97.0,6.1,1851,127000000
38055,321887208,95.0,6.7,1918,130000000
671,976475550,152.0,7.5,7006,125000000
49524,61648500,96.0,5.4,1260,130000000
22,655011224,143.0,7.5,6985,140000000
131631,752100229,123.0,6.6,5584,125000000
591,767820459,149.0,6.5,2704,125000000
172385,500188435,102.0,6.3,978,103000000
36658,407711549,133.0,6.8,3506,110000000
51497,626137675,130.0,7.1,2438,125000000
58574,334615000,129.0,7.0,3886,125000000
18823,232713139,106.0,5.6,2233,125000000
861,261317921,113.0,7.1,1710,65000000
1911,61698899,102.0,6.4,510,160000000
49040,276572938,120.0,6.0,2651,130000000
415,238207122,125.0,4.2,1418,125000000
8871,345141403,104.0,6.2,1386,123000000
435,544272402,124.0,6.2,2392,125000000
955,546388105,123.0,5.9,1928,125000000
2133,325756637,130.0,6.2,597,120000000
1979,289047763,92.0,5.4,2589,130000000
87827,609016565,127.0,7.2,5797,120000000
1250,228738393,114.0,5.2,1712,110000000
324668,415484914,123.0,5.9,2341,120000000
9471,259175788,106.0,5.2,914,120000000
70981,403170142,124.0,6.3,5080,130000000
10996,169956806,78.0,5.4,613,120000000
68724,286140700,109.0,6.4,3439,115000000
2789,115772733,119.0,6.3,1570,105000000
97020,242688965,102.0,5.7,2342,120000000
7459,93945766,135.0,5.7,354,120000000
42888,48668907,121.0,4.9,223,120000000
37834,261930431,109.0,5.9,1547,117000000
75612,286168572,124.0,6.4,4800,120000000
1895,850000000,140.0,7.1,4116,113000000
1894,649398328,142.0,6.4,3992,120000000
585,562816256,92.0,7.5,5996,115000000
76170,415440673,126.0,6.3,4053,120000000
1893,924317558,136.0,6.3,4432,115000000
49519,585178928,98.0,6.8,2399,135000000
2395,132900000,116.0,5.0,471,97250400
12100,77628265,134.0,5.8,341,115000000
290595,164602163,114.0,6.0,1523,115000000
98566,477200000,101.0,5.8,2636,125000000
49047,716392705,91.0,7.3,5751,105000000
9619,178127760,108.0,5.7,428,116000000
308531,245623848,112.0,5.8,963,135000000
166424,167977596,100.0,4.4,2278,120000000
1593,574480841,108.0,6.3,2862,110000000
254128,470490832,114.0,6.0,2968,110000000
714,333011068,119.0,6.0,925,110000000
2024,215294342,165.0,6.8,1099,110000000
163,362744280,125.0,6.4,2124,110000000
787,478207520,120.0,6.5,2965,110000000
262500,295238201,119.0,6.2,3829,110000000
2567,102000000,170.0,7.0,1489,116000000
38745,237382724,85.0,4.9,621,112000000
40805,227817248,119.0,5.5,1251,120000000
53182,337580051,102.0,6.1,2397,110000000
41513,563749323,103.0,5.5,1179,110000000
13700,103951461,76.0,5.7,389,110000000
262504,179246868,121.0,5.9,1998,110000000
39254,299268508,127.0,6.6,2692,110000000
77931,347434178,105.0,5.5,695,105000000
1639,164508066,121.0,4.1,434,160000000
80274,125537191,114.0,6.6,2303,110000000
1571,383531464,128.0,6.4,2089,110000000
120,871368364,178.0,8.0,8705,93000000
10204,72178895,120.0,5.7,672,110000000
8489,87713825,157.0,6.7,447,107000000
10588,0,82.0,4.9,366,0
2048,347234916,115.0,6.7,3793,120000000
1495,211643158,144.0,6.6,1157,130000000
10137,300135367,84.0,5.8,959,133000000
10198,267045765,97.0,6.7,1247,105000000
286217,630161890,141.0,7.6,7268,108000000
1635,162949164,136.0,6.5,1770,126000000
24113,10372291,104.0,3.7,16,90000000
9679,237202299,118.0,6.1,1485,90000000
98,457640427,155.0,7.9,5439,103000000
180,358372926,145.0,7.1,2608,102000000
672,876688482,161.0,7.4,5815,100000000
36557,599045960,144.0,7.3,3855,150000000
869,362211740,119.0,5.6,1243,100000000
280,520000000,137.0,7.7,4185,100000000
11322,214104620,140.0,6.5,1344,80000000
4982,266465037,157.0,7.4,1502,100000000
36955,378882411,141.0,6.8,1116,115000000
18487,150166126,106.0,6.2,954,100000000
39451,310650585,98.0,5.4,1060,100000000
27581,170432927,107.0,6.1,1383,100000000
9268,242295562,115.0,5.6,543,100000000
68718,425368238,165.0,7.8,10099,100000000
10545,100138851,91.0,6.8,1129,100000000
11688,169327687,78.0,7.2,1490,100000000
76163,312573423,103.0,6.1,2896,100000000
2059,347451894,131.0,6.4,1926,100000000
